rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557,2.78E-05,-2.78E-05,170.53875,2.16E-03,-2.16E-03,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,6.16E+02,1.95E+01,-1.95E+01,2.26,2.60E-01,-1.50E-01,793,,,93.59,29.45,-16.65,35.8,1,q1_q17_dr25_tce,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,2.48E-04,-2.48E-04,162.51384,3.52E-03,-3.52E-03,0.586,0.059,-0.443,4.507,0.116,-0.116,8.75E+02,3.55E+01,-3.55E+01,2.83,3.20E-01,-1.90E-01,443,,,9.11,2.87,-1.62,25.8,2,q1_q17_dr25_tce,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777,3.76E-06,-3.76E-06,171.59555,1.13E-03,-1.13E-03,0.701,0.235,-0.478,1.6545,0.042,-0.042,6.03E+02,1.69E+01,-1.69E+01,2.75,8.80E-01,-3.50E-01,1406,,,926.16,874.33,-314.24,40.9,1,q1_q17_dr25_tce,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054,2.04E-05,-2.04E-05,171.20116,1.41E-03,-1.41E-03,0.538,0.03,-0.428,4.5945,0.061,-0.061,1.52E+03,2.42E+01,-2.42E+01,3.9,1.27E+00,-4.20E-01,835,,,114.81,112.85,-36.7,66.5,1,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512,1.05E-05,-1.05E-05,172.97937,1.90E-03,-1.90E-03,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,6.86E+02,1.87E+01,-1.87E+01,2.77,9.00E-01,-3.00E-01,1160,,,427.65,420.33,-136.7,40.2,2,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.78E-05,-1.78E-05,179.55437,4.61E-03,-4.61E-03,0.755,0.212,-0.523,2.429,0.165,-0.165,2.27E+02,1.68E+01,-1.68E+01,1.59,5.20E-01,-1.70E-01,1360,,,807.74,793.91,-258.2,15,3,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674,1.09E-05,-1.09E-05,173.621937,5.17E-04,-5.17E-04,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4.91E+03,3.33E+01,-3.33E+01,5.76,2.20E-01,-4.90E-01,600,,,30.75,4.46,-6.66,161.9,1,q1_q17_dr25_tce,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,1.42E+04,4.20E+00,-4.20E+00,13.04,5.10E-01,-5.10E-01,1339,,,761.46,106.21,-95.76,4304.3,1,q1_q17_dr25_tce,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6.67E+03,1.70E+00,-1.70E+00,16.1,8.10E-01,-9.10E-01,2048,,,4148.92,651.59,-654.46,5945.9,1,q1_q17_dr25_tce,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9.15E+03,6.60E+00,-6.60E+00,14.59,1.11E+00,-1.11E+00,1521,,,1264.67,307.23,-276.48,1741.5,1,q1_q17_dr25_tce,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
